id_process;status;status_date;hashtags;id;url;title;description;upload_date;channel;duration;view_count;like_count;format;width;height;resolution;tbr;abr;acodec;vbr;fps;vcodec;container;filesize;filesize_approx;protocol;extractor;track;artist;genre;album;album_type;album_artist
0;Downloaded;20240324; #breakdance;RS0mFARO1x4;https://www.youtube.com/watch?v=RS0mFARO1x4;Lil G vs Roxrite - Final Battle - Red Bull BC One 2011 Moscow;"Lil G and Roxrite go head to head in the final battle to see who will be crowned the winner of Red Bull BC One 2011 in Moscow, Russia.

http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;277;949028;;137 - 1920x1080 (1080p);1920;1080;;4170.938;;none;;30;avc1.640028;mp4_dash;144127820;;http_dash_segments;youtube;;;;;;
1;Downloaded;20240324; #breakdance;k1RTNQxNt6Q;https://www.youtube.com/watch?v=k1RTNQxNt6Q;Lil G vs Morris - Semi Finals - Red Bull BC One 2011 Moscow;"Lil G and Morris face off in the semi finals of Red Bull BC One 2011 in Moscow, Russia.

http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;312;609465;;137 - 1920x1080 (1080p);1920;1080;;3896.112;;none;;30;avc1.640028;mp4_dash;151823727;;http_dash_segments;youtube;;;;;;
2;Downloaded;20240324; #breakdance;HQbI8aWRU7o;https://www.youtube.com/watch?v=HQbI8aWRU7o;Roxrite vs Neguin - Semi Finals - Red Bull BC One 2011 Moscow;"Roxrite and Neguin go head to head in the first semi final round Red Bull BC One 2011 in Moscow, Russia.

http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;241;698337;;137 - 1920x1080 (1080p);1920;1080;;4082.407;;none;;30;avc1.640028;mp4_dash;123105012;;http_dash_segments;youtube;;;;;;
3;Downloaded;20240324; #breakdance;3rIk56dcBTM;https://www.youtube.com/watch?v=3rIk56dcBTM;El Niño vs Roxrite - Battle 9 - Red Bull BC One 2011 Moscow;"El Niño and Roxrite go face to face in the 9th battle of the 2011 Red Bull BC One in Moscow, Russia.

http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;174;161954;;137 - 1920x1080 (1080p);1920;1080;;4462.117;;none;;30;avc1.640028;mp4_dash;97278069;;http_dash_segments;youtube;;;;;;
4;Downloaded;20240324; #breakdance;QwlEcwZiPaE;https://www.youtube.com/watch?v=QwlEcwZiPaE;Yan vs Lil G - Battle 12 - Red Bull BC One 2011 Moscow;"Yan and Lil G go face to face in the 2011 Red Bull BC One in Moscow, Russia.

http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;197;226833;;137 - 1920x1080 (1080p);1920;1080;;3919.143;;none;;30;avc1.640028;mp4_dash;96474608;;http_dash_segments;youtube;;;;;;
5;Downloaded;20240324; #breakdance;MXtmXLpna0I;https://www.youtube.com/watch?v=MXtmXLpna0I;Flying Buddha vs Neguin - Battle 3 - Red Bull BC One 2011 Moscow;"Battle 3 was a face off between Red Bull BC One vet Neguin and the Bboy power house Buddha.

Break over to http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;139;730592;;137 - 1920x1080 (1080p);1920;1080;;4105.197;;none;;30;avc1.640028;mp4_dash;71107657;;http_dash_segments;youtube;;;;;;
6;Downloaded;20240324; #breakdance;fxXOlouckmE;https://www.youtube.com/watch?v=fxXOlouckmE;Morris vs Taisuke - Battle 11 - Red Bull BC One 2011 Moscow;"Morris and Taisuke go face to face in the 2011 Red Bull BC One in Moscow, Russia.

Break over to http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;255;299507;;137 - 1920x1080 (1080p);1920;1080;;3994.217;;none;;30;avc1.640028;mp4_dash;127159414;;http_dash_segments;youtube;;;;;;
7;Downloaded;20240324; #breakdance;A_KxOaDHi6o;https://www.youtube.com/watch?v=A_KxOaDHi6o;Soso vs Roxrite - Battle 2 - Red Bull BC One 2011 Moscow;"Soso vs Roxrite face off in the second battle of the epic finals of Red Bull BC One in Moscow, Russia.

Break over to http://redbullbcone.com

SUBSCRIBE: http://www.youtube.com/subscription_center?add_user=redbull
_

Experience the world of Red Bull like you have never seen it before. With the best action sports clips on the web and original series, prepare for your ""stoke factor"" to be at an all time high.

See into our world: http://goo.gl/J49U

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube: http://win.gs/SubToRedBull

Subscribe to the Red Bulletin: http://win.gs/TheRedBulletin

Sign up for our Newsletter here: http://win.gs/RedBullNewsletter";20111215;Red Bull BC One;152;114095;;137 - 1920x1080 (1080p);1920;1080;;4009.989;;none;;30;avc1.640028;mp4_dash;76248951;;http_dash_segments;youtube;;;;;;
8;Downloaded;20240324; #breakdance;l9pBNENDXYo;https://www.youtube.com/watch?v=l9pBNENDXYo;B-Boy Lil Zoo vs B-Boy Neguin | Red Bull BC One World Final 2013;"Watch as BC One champion Neguin takes on Lil Zoo in the 2013 world finals of Red Bull BC One in Seoul.
________________________________________­­____________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel.

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;190;2383642;;137 - 1920x1080 (1080p);1920;1080;;3321.81;;none;;30;avc1.640028;mp4_dash;78874720;;http_dash_segments;youtube;;;;;;
9;Downloaded;20240324; #breakdance;U98V5ky0RBk;https://www.youtube.com/watch?v=U98V5ky0RBk;Omar vs Robin - Battle 6 - Red Bull BC One World Final 2013 Seoul;"Get more into BC One here: http://redbullbcone.com
Watch as the first winner of BC One, Omar, takes on B-boy Robin head to head at the Red Bull BC One World Finals 2013 in Seoul
____________________________________________________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel. 

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;229;168559;;137 - 1920x1080 (1080p);1920;1080;;3259.684;;none;;30;avc1.640028;mp4_dash;93224932;;http_dash_segments;youtube;;;;;;
10;Downloaded;20240324; #breakdance;fafUiXUQ4Ac;https://www.youtube.com/watch?v=fafUiXUQ4Ac;Mounir vs Froz - Battle 4 - Red Bull BC One World Final 2013 Seoul;"Get more into Red Bull BC One here: http://redbullbcone.com
Check out the fourth battle in the World Finals of Red Bull BC One 2013 in Seoul. Last years Champion Mounir takes on Froz in an epic one-on-one battle
____________________________________________________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel. 

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;220;427997;;137 - 1920x1080 (1080p);1920;1080;;3338.268;;none;;30;avc1.640028;mp4_dash;91824498;;http_dash_segments;youtube;;;;;;
11;Downloaded;20240324; #breakdance;ToFyPVocxMk;https://www.youtube.com/watch?v=ToFyPVocxMk;B-Boy Lil Zoo vs B-Boy Hong 10 | Quarterfinal | Red Bull BC One World Final 2013;"Watch how B-Boy Lil Zoo takes on B-Boy Hong 10 in the quarterfinals of the 2013 Red Bull BC One World Finals in Seoul.
► Click to Subscribe to BC One: http://win.gs/SubtoBCOne

----

Red Bull BC One is the biggest one-on-one Breaking competition in the world. Every year, thousands of dancers across the globe vie for a chance to represent at the World Final. Sixteen B-Boys & B-Girls earn the right to enter into an all-out battle on the Red Bull BC One stage, but only one will be crowned the champion.

Facebook: https://win.gs/BC-One-FB

Twitter: https://win.gs/BC-One-Twitter

Instagram: https://win.gs/BC-One-IG

#redbullbcone #bboylilzoo #bboyhong10";20131201;Red Bull BC One;256;3709262;;137 - 1920x1080 (1080p);1920;1080;;3327.892;;none;;30;avc1.640028;mp4_dash;106376931;;http_dash_segments;youtube;;;;;;
12;Downloaded;20240324; #breakdance;u525d_b3TfY;https://www.youtube.com/watch?v=u525d_b3TfY;Wing vs Hong 10 - Semi Finals - Red Bull BC One World Final 2013 Seoul;"► Watch the full replay of the BC One World Final 2016: http://win.gs/BCOneFinals
Watch as B-boy Wing and Hong 10 battle it out one-on-one in the semi finals of the 2013 Red Bull BC One World Finals in Seoul
________________________________________­­____________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel.

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;398;1319532;;137 - 1920x1080 (1080p);1920;1080;;3024.438;;none;;30;avc1.640028;mp4_dash;150401525;;http_dash_segments;youtube;;;;;;
13;Downloaded;20240324; #breakdance;nkVvghOaoJs;https://www.youtube.com/watch?v=nkVvghOaoJs;Ronnie vs Gravity - Battle 3 - Red Bull BC One World Final 2013 Seoul;"► PROGRAMMING ALERT: Watch the Bonnaroo 2016 REPLAY here: http://win.gs/Bonnaroo16
High flyer Gravity takes on BC One veteran Ronnie in the third of the first round battles.
________________________________________­­____________

Experience the world of Red Bull like you have never seen it before. Music, dance, and culture collide to form the Red Bull Music channel.

Red Bull on Facebook: http://win.gs/redbullfb

Red Bull on Twitter: http://win.gs/redbulltwitter

Subscribe to Red Bull on Youtube:
http://win.gs/SubToRedBullMusic";20131201;Red Bull BC One;270;759602;;137 - 1920x1080 (1080p);1920;1080;;3447.671;;none;;30;avc1.640028;mp4_dash;116460625;;http_dash_segments;youtube;;;;;;
