id_process;status;status_date;hashtags;id;url;title;description;upload_date;channel;duration;view_count;like_count;format;width;height;resolution;tbr;abr;acodec;vbr;fps;vcodec;container;filesize;filesize_approx;protocol;extractor;track;artist;genre;album;album_type;album_artist
0;Processed;20240406;#frevo;IS8r3wG8-Js;https://www.youtube.com/watch?v=IS8r3wG8-Js;Frevo - Grupo Sarandeiros - Espetáculo Coup de Coeur;"O sexto vídeo de nossa série apresenta a mais frenética e excitante manifestação do carnaval de rua: o frevo. A dança segue uma marcha de ritmo sincopado e violento que movimenta a multidão que fica a ferver (ou ""frever"", no popular). O ritmo genuinamente pernambucano tem origem nas disputas acirradas entre bandas militares, a partir dos dobrados, maxixes, quadrilhas e especialmente da polca e das marchas.

Espetáculo ""Coup de Coeur"". Campanha de Popularização do Teatro e da Dança de BH 2015.
Coreografia: Grupo Sarandeiros
Música: Voltei Recife - Composição: Luiz Bandeira
Frevo dos vassourinhas - Composição: Matias da Rocha e Joana Batista Ramos";20200328;Grupo Sarandeiros;317;450362;5200;137 - 1920x1080 (1080p);1920;1080;;2691.5;;none;;30;avc1.640028;mp4_dash;106555142;;http_dash_segments;youtube;;;;;;
1;Processed;20240406;#frevo;6XruFqqeq9o;https://www.youtube.com/watch?v=6XruFqqeq9o;Frevo Pernambucano;"Filmado por mim (Arnaldo Temporal) no dia 22 de dezembro de 2012 às 15:004 hs na Sé de Olinda - Pernambuco.
O Nome do Frevo é Fogão de autoria de Sergio Lisboa e é executado pelo Maestro Duda e sua Orquestra.
Unesco torna frevo pernambucano patrimônio da humanidade no dia 5 de dezembro de 2012.";20121224;Arnaldo Temporal;134;1233877;12000;137 - 1920x1080 (1080p);1920;1080;;4328.162;;none;;30;avc1.640028;mp4_dash;72388525;;http_dash_segments;youtube;;;;;;
2;Processed;20240406;#frevo;1c73MCW9F1o;https://www.youtube.com/watch?v=1c73MCW9F1o;Frevo Mulher - Trio;;20211111;Cia de Frevo do Recife;110;16428;236;137 - 1920x1080 (1080p);1920;1080;;3716.08;;none;;30;avc1.640028;mp4_dash;50848059;;http_dash_segments;youtube;;;;;;
3;Processed;20240406;#frevo;Ug5cIi1kJpk;https://www.youtube.com/watch?v=Ug5cIi1kJpk;FREVO | Concurso de Passista de Frevo do Recife 2020 (Categoria masculina);"Cobertura do Concurso de passista de frevo do Recife 2020 (categoria masculina)! O primeiro lugar ficou com Eliseu Nascimento e o segundo foi para Elias Barros (o primeiro e o segundo mostrados neste vídeo, respectivamente). 

Todos os passistas presentes neste vídeo: 
00:00 Eliseu Nascimento
00:57 Elias Barros
01:55 Deivison Vicente
02:29 Éverton Pequeno
03:11 Fabrício David
03:41 Fagner de Oliveira Batista
04:41 Rafa Guimarães
05:07 Henrique Dias
05:31 Vitor Martins
05:56 Wanderley Aires

ASSISTA TAMBÉM (2024): 
https://youtu.be/I58rRto4Tp8

IMAGENS: Maíra Passos/#NaPontadoPÉ 

SITE NA PONTA DO PÉ:
https://www.napontadope.com/

INSTAGRAM (@canalnapontadope):  
https://www.instagram.com/canalnapontadope

VEJA TAMBÉM: https://www.napontadope.com/concurso-de-passista-de-frevo-do-recife-2020/

* Para compartilhar este vídeo, use o link! =) Não faça o download para reproduzir em outras mídias, sem autorização. Direitos  reservados. 

#Frevo #Dança #DançaPopular #Recife";20200220;Na Ponta do PÉ;400;77925;1200;137 - 1920x1080 (1080p);1920;1080;;4463.524;;none;;30;avc1.640028;mp4_dash;223380427;;http_dash_segments;youtube;;;;;;
4;Processed;20240406;#frevo;WLtvU-lXAvQ;https://www.youtube.com/watch?v=WLtvU-lXAvQ;Frevo - Grupo Sarandeiros - Dançando na EEFFTO;"Frevo - Coreografia por Sarandeiros

O frevo segue uma marcha de ritmo sincopado e violento que movimenta a multidão que fica a ferver (ou ""frever"", no popular). O ritmo genuinamente pernambucano tem origem nas disputas acirradas entre bandas militares, a partir dos dobrados, maxixes, quadrilhas e especialmente da polca e das marchas.

Gravações realizadas na Escola de Educação Física, Fisioterapia e Terapia Ocupacional da UFMG
Coreografia: Grupo Sarandeiros
Música: Voltei Recife - Composição: Luiz Bandeira
Frevo dos vassourinhas - Composição: Matias da Rocha e Joana Batista Ramos";20201014;Grupo Sarandeiros;348;155280;1500;137 - 1920x1080 (1080p);1920;1080;;4161.928;;none;;25;avc1.640028;mp4_dash;181147936;;http_dash_segments;youtube;;;;;;
5;Processed;20240406;#frevo;A1aGURlQP6A;https://www.youtube.com/watch?v=A1aGURlQP6A;Aprenda a dançar FREVO em apenas 12 passos;"Quer saber como dançar frevo? Neste vídeo o JC te mostra como aprender a dançar frevo com 12 passos super simples para você cair na folia e se divertir no carnaval.

O ritmo pernambucano que dominou o mundo, o frevo é contagiante e muito gostoso de dançar. Seja no carnaval de Olinda, carnaval em Recife ou em qualquer lugar do Brasil e do mundo, as dançarinas de frevo mostram nesse vídeo como dançar frevo passo a passo.

Para quem não sabe ainda como se dança a dança do frevo, esse vídeo te mostra passos de frevo e como dançar frevo. 

Capítulos 
00:00 Aprenda a dançar FREVO em apenas 12 passos
00:01 TROCADILHO
00:16 TUBARÃO
00:25 ENGANA POVO
00:41 TESOURA CEGA
00:45 METRÔ SUBTERRÂNEO
00:55 ROJÃO
1:03 TESOURA COM PONTA DE PÉ E CALCANHAR
01:18 SEQUÊNCIA DE BAILARINA
01:33 PONTILHANDO
01:48 CARPADO
01:56 TESOURA
02:11 GRILO

📲 Compartilhe esse vídeo:
https://youtu.be/A1aGURlQP6A

📷 Imagens: /JC Imagem 
🎥 Edição de Vídeo: Tato Rocha

#frevo #carnaval #carnavalOlinda #aprendendoadancarfrevo #passosdefrevo  #TV74829025JC2022 

--------------------------------------------------------------------------------------------------------------------

🔴🔴 Você pode gostar desses vídeos também: 🔴🔴

Passo do Frevo
https://www.youtube.com/watch?v=UhtkVTk7dTU

História do Frevo: saiba mais sobre a origem do Dia do Frevo
https://www.youtube.com/watch?v=OmK80OzcD9c

________________________________________________________________________ 

QUER MAIS REPORTAGENS?

💻 Você encontra muito mais notícias e conteúdo em JC Online: http://jc.com.br

✅ ASSINE JC DIGITAL + JC CLUBE: https://assinejc.com.br/

_________________________________________________________________________________

SOBRE O CANAL

O Jornal do Commercio é um veículo de comunicação do Sistema Jornal do Commercio de Comunicação.

Publicamos Notícias sobre Pernambuco, Recife, Brasil, Suape, times pernambucanos como Náutico, Sport e Santa Cruz, cena cultural de Pernambuco e do mundo, entre vários outros temas. Jornalismo de qualidade em tempo real.

👉 INSCREVA-SE NO CANAL E FIQUE POR DENTRO DAS PRINCIPAIS NOTÍCIAS DE PERNAMBUCO: https://www.youtube.com/user/jornaldocommercio1

🔴⬇Conecte-se com o JC:⬇🔴
👉 Twitter: @jc_pe 
🔵 Facebook: @jornaldocommercioPE
📲 Instagram: @jc_pe

Obrigado por assistir,
Equipe JC TV.";20170223;JC Play;136;248591;3500;137 - 1920x1080 (1080p);1920;1080;;1805.886;;none;;30;avc1.640028;mp4_dash;30745666;;http_dash_segments;youtube;;;;;;
6;Processed;20240406;#frevo;DCQlL-Gu5k0;https://www.youtube.com/watch?v=DCQlL-Gu5k0;Passistas no Alto da Sé/Olinda no Dia Nacional do Frevo - Sáb, 14/09/2019;Passistas no Alto da Sé/Olinda no Dia Nacional do Frevo, no sábado 14/09/2019;20190916;A VAIDOSA;130;14115;262;137 - 1920x1080 (1080p);1920;1080;;4343.808;;none;;30;avc1.640028;mp4_dash;70477756;;http_dash_segments;youtube;;;;;;
7;Processed;20240406;#frevo;pSAZuaGEnaI;https://www.youtube.com/watch?v=pSAZuaGEnaI;Passos de Frevo :: O Baú da Camilinha;"Hoje é dia de cair no passo ao ritmo do frevo! Nesse vídeo, convidamos o passista Ferreirinha para nos ensinar alguns passinhos de frevo para todo mundo fazer bonito nesse Carnaval. Aperta o play e vem dançar e se divertir com a gente.

Bom Carnaval para todo mundo!

Agradecimento: Paço do Frevo
Ferreirinha - passista de frevo
Vídeo: Asa Amiga Filmes
Apresentação: Camilinha e João :: O Baú da Camilinha

Siga também nossas redes sociais:
Instagram: @obaudacamilinha
Facebook: http://www.facebook.com/obaudacamilinha
Site: http://www.obaudacamilinha.com.br
Se inscreve lá na nossa lista e vem fazer parte do nosso baú exclusivo!

https://youtu.be/pSAZuaGEnaI";20170223;O Bau da Camilinha;154;396454;8700;137 - 1920x1080 (1080p);1920;1080;;1908.454;;none;;30;avc1.640028;mp4_dash;36678823;;http_dash_segments;youtube;;;;;;
8;Processed;20240406;#frevo;66cAD7-9tXY;https://www.youtube.com/watch?v=66cAD7-9tXY;Frevo do Studio Viégas de Dança.;"Frevo Grupo de Danças Viegas.

O Studio Viégas de Dança-Recife-PE, almeja conquistar seu espaço dentro e fora do estado de Pernambuco, sendo referência de um frevo inovador, misturando vários elementos artísticos, mantendo as tradições do passado com um presente contemporâneo e futurista.";20160913;Edmar Paz;235;151110;1500;136 - 1280x720 (720p);1280;720;;1292.53;;none;;30;avc1.4d401f;mp4_dash;37903605;;http_dash_segments;youtube;;;;;;
9;Processed;20240406;#frevo;yqZOUZaz3NM;https://www.youtube.com/watch?v=yqZOUZaz3NM;COREOGRAFIA FREVO - 2015;ESCOLA TÉCNICA MAXIMIANO ACCIOLY CAMPOS. 3º B REDES DE COMPUTADORES. UNIDADE DANÇA.;20150621;Canal do Professor Jaime Jesus;170;459929;4400;136 - 1280x720 (720p);1280;720;;1633.978;;none;;30;avc1.4d401f;mp4_dash;34722051;;http_dash_segments;youtube;;;;;;
