;video_id;hashtags;metric;threshold;network;filteredAnnotation;quantFilteredFrames;width;height
0;IS8r3wG8-Js;#frevo;EPDNVP;0.2;YOLO;videoTest2/IS8r3wG8-Js/IS8r3wG8-JsFiltered.txt;416;1920;1080
1;6XruFqqeq9o;#frevo;EPDNVP;0.2;YOLO;videoTest2/6XruFqqeq9o/6XruFqqeq9oFiltered.txt;1997;1920;1080
2;1c73MCW9F1o;#frevo;EPDNVP;0.2;YOLO;videoTest2/1c73MCW9F1o/1c73MCW9F1oFiltered.txt;638;1920;1080
3;Ug5cIi1kJpk;#frevo;EPDNVP;0.2;YOLO;videoTest2/Ug5cIi1kJpk/Ug5cIi1kJpkFiltered.txt;1744;1920;1080
4;WLtvU-lXAvQ;#frevo;EPDNVP;0.2;YOLO;videoTest2/WLtvU-lXAvQ/WLtvU-lXAvQFiltered.txt;2150;1920;1080
5;A1aGURlQP6A;#frevo;EPDNVP;0.2;YOLO;videoTest2/A1aGURlQP6A/A1aGURlQP6AFiltered.txt;2259;1920;1080
6;DCQlL-Gu5k0;#frevo;EPDNVP;0.2;YOLO;videoTest2/DCQlL-Gu5k0/DCQlL-Gu5k0Filtered.txt;853;1920;1080
7;pSAZuaGEnaI;#frevo;EPDNVP;0.2;YOLO;videoTest2/pSAZuaGEnaI/pSAZuaGEnaIFiltered.txt;1741;1920;1080
8;66cAD7-9tXY;#frevo;EPDNVP;0.2;YOLO;videoTest2/66cAD7-9tXY/66cAD7-9tXYFiltered.txt;850;1280;720
9;yqZOUZaz3NM;#frevo;EPDNVP;0.2;YOLO;videoTest2/yqZOUZaz3NM/yqZOUZaz3NMFiltered.txt;4064;1280;720
10;V4XWFfSJR1I;#frevo;EPDNVP;0.2;YOLO;videoTest2/V4XWFfSJR1I/V4XWFfSJR1IFiltered.txt;538;1280;720
11;C9Jewso5gY4;#frevo;EPDNVP;0.2;YOLO;videoTest2/C9Jewso5gY4/C9Jewso5gY4Filtered.txt;3578;1920;1080
12;MLksVSxJq_E;#frevo;EPDNVP;0.2;YOLO;videoTest2/MLksVSxJq_E/MLksVSxJq_EFiltered.txt;1493;1920;1080
13;YDinGi2crCU;#frevo;EPDNVP;0.2;YOLO;videoTest2/YDinGi2crCU/YDinGi2crCUFiltered.txt;167;1920;1080
14;GfqLfKFAwVk;#frevo;EPDNVP;0.2;YOLO;videoTest2/GfqLfKFAwVk/GfqLfKFAwVkFiltered.txt;313;1920;1080
15;GU3IeOMqTTg;#frevo;EPDNVP;0.2;YOLO;videoTest2/GU3IeOMqTTg/GU3IeOMqTTgFiltered.txt;1256;1920;1080
16;kvi2HHGiBKU;#frevo;EPDNVP;0.2;YOLO;videoTest2/kvi2HHGiBKU/kvi2HHGiBKUFiltered.txt;160;1920;1080
17;X8Q8eQtjtVE;#frevo;EPDNVP;0.2;YOLO;videoTest2/X8Q8eQtjtVE/X8Q8eQtjtVEFiltered.txt;2907;1920;1080
18;bxoeI3RHmdw;#frevo;EPDNVP;0.2;YOLO;videoTest2/bxoeI3RHmdw/bxoeI3RHmdwFiltered.txt;688;1920;1080
19;lzEpkl8Fhck;#frevo;EPDNVP;0.2;YOLO;videoTest2/lzEpkl8Fhck/lzEpkl8FhckFiltered.txt;847;1920;1080
20;2nJlaHlo81I;#frevo;EPDNVP;0.2;YOLO;videoTest2/2nJlaHlo81I/2nJlaHlo81IFiltered.txt;348;1440;1080
21;Ue-Ap47MADY;#frevo;EPDNVP;0.2;YOLO;videoTest2/Ue-Ap47MADY/Ue-Ap47MADYFiltered.txt;811;1920;1080
22;n09Figp0QAk;#frevo;EPDNVP;0.2;YOLO;videoTest2/n09Figp0QAk/n09Figp0QAkFiltered.txt;182;1920;1080
23;cBv4MkFJe3U;#frevo;EPDNVP;0.2;YOLO;videoTest2/cBv4MkFJe3U/cBv4MkFJe3UFiltered.txt;183;1920;1080
24;TD93LFHnIRI;#frevo;EPDNVP;0.2;YOLO;videoTest2/TD93LFHnIRI/TD93LFHnIRIFiltered.txt;1529;1920;1080
